Anno,Codice_Istat_Provincia,Provincia,Codice_Istat_Comune,Comune,Totale_residenti_al_31_12,Indice_di_Lesivita,Indice_di_Pericolosita,Indice_di_Mortalita
2011, 20,MANTOVA,20065,SUZZARA,20536,145.68,0.84,1.23
2011, 108,MONZA E DELLA BRIANZA,108040,SEVESO,22741,133.93,0.00,0.00
2011, 14,SONDRIO,14061,SONDRIO,21635,146.38,0.98,1.45
2011, 12,VARESE,12070,GALLARATE,50354,136.27,0.74,1.02
2012, 15,MILANO,15220,TREZZANO SUL NAVIGLIO,20213,132.93,0.91,1.22
2012, 20,MANTOVA,20030,MANTOVA,47223,132.33,0.68,0.91
2012, 108,MONZA E DELLA BRIANZA,108033,MONZA,120440,126.98,0.79,1.01
2012, 108,MONZA E DELLA BRIANZA,108035,NOVA MILANESE,22335,127.87,0.00,0.00
2012, 108,MONZA E DELLA BRIANZA,108024,GIUSSANO,24854,128.85,0.00,0.00
2012, 14,SONDRIO,14061,SONDRIO,21536,154.67,2.52,4.00
2012, 15,MILANO,15175,PIOLTELLO,35770,131.88,1.09,1.45
2012, 15,MILANO,15002,ABBIATEGRASSO,31325,113.54,1.80,2.08
2012, 17,BRESCIA,17113,MONTICHIARI,24287,137.36,6.02,8.79
2012, 17,BRESCIA,17096,LUMEZZANE,23320,116.67,0.00,0.00
2012, 20,MANTOVA,20065,SUZZARA,20768,120.00,3.23,4.00
2012, 97,LECCO,97042,LECCO,47240,127.95,0.00,0.00
2012, 98,LODI,98031,LODI,43465,124.87,1.20,1.52
2012, 108,MONZA E DELLA BRIANZA,108028,LISSONE,44585,139.62,1.33,1.89
2012, 108,MONZA E DELLA BRIANZA,108040,SEVESO,22975,129.27,0.00,0.00
2012, 108,MONZA E DELLA BRIANZA,108019,CESANO MADERNO,37374,157.85,0.00,0.00
2012, 12,VARESE,12070,GALLARATE,50961,140.81,0.52,0.74
2012, 12,VARESE,12026,BUSTO ARSIZIO,79563,141.64,0.60,0.85
2012, 15,MILANO,15070,CERNUSCO SUL NAVIGLIO,31050,125.96,3.68,4.81
2012, 15,MILANO,15205,SEGRATE,33636,118.90,1.02,1.22
2012, 16,BERGAMO,16024,BERGAMO,115072,129.44,0.24,0.32
2012, 12,VARESE,12119,SARONNO,38902,127.12,0.00,0.00
2012, 13,COMO,13041,CANTU',39272,151.94,0.51,0.78
2012, 15,MILANO,15192,SAN DONATO MILANESE,31196,139.86,1.53,2.17
2012, 15,MILANO,15036,BUCCINASCO,26982,124.64,1.15,1.45
