Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Gerard Kyle Burdese,M,SBD,Raw,24.5,24-34,24-39,Senior,97.12,105,205,215,-225,,215,135,145,-150,,145,250,265,-275,,265,625,27,389.70,385.00,367.96,80.07,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Giorgio Ferolo,M,SBD,Raw,25,24-34,24-39,Senior,95.76,105,205,-217.5,220,,220,130,135,140,,140,235,252.5,270,,270,630,25,395.36,390.48,373.34,81.26,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Federico Durante,M,SBD,Raw,,,,Senior,103.17,105,-245,245,-255,,245,150,157.5,-162.5,,157.5,270,285,-300,,285,687.5,11,417.62,413.42,394.76,85.58,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Simone Renzacci,M,SBD,Raw,26.5,24-34,24-39,Senior,83.16,93,170,180,190,,190,-112.5,-112.5,,,,205,217.5,227.5,,227.5,,DQ,,,,,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Pasquale Davide Schiavone,M,SBD,Raw,,,,Senior,91.39,93,130,-140,-140,,130,90,-100,-100,,90,150,160,-175,,160,380,100,243.84,240.74,230.57,50.14,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Paolo Corradi,M,SBD,Raw,,,,Senior,89.12,93,127.5,137.5,-150,,137.5,115,120,-122.5,,120,180,190,200,,200,457.5,99,297.30,293.54,281.45,61.12,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Matteo Filaggi,M,SBD,Raw,,,,Senior,83.4,93,140,-147.5,150,,150,107.5,115,120,,120,187.5,197.5,212.5,,212.5,482.5,98,324.85,321.16,308.86,66.63,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Andrea Campana,M,SBD,Raw,,,,Senior,91.48,93,-175,182.5,190,,190,110,117.5,-122.5,,117.5,185,195,205,,205,512.5,96,328.70,324.52,310.80,67.59,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Stefano Marangon,M,SBD,Raw,,,,Senior,86.82,93,170,182.5,-192.5,,182.5,120,125,-130,,125,190,200,210,,210,517.5,94,340.89,336.69,323.21,70.04,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Massimilian Simoncini,M,SBD,Raw,,,,Senior,90.49,93,180,-190,-190,,180,120,130,-135,,130,185,197.5,212.5,,212.5,522.5,93,336.93,332.65,318.73,69.28,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Michele Leotta,M,SBD,Raw,28.5,24-34,24-39,Senior,89.77,93,-190,200,-215,,200,-107.5,112.5,120,,120,190,200,215,,215,535,92,346.38,341.99,327.80,71.21,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Alessandro Zanardi,M,SBD,Raw,,,,Senior,84.86,93,170,-185,-190,,170,137.5,145,-150,,145,200,220,-235,,220,535,89,356.77,352.54,338.78,73.24,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Andrea Scarpelli,M,SBD,Raw,31.5,24-34,24-39,Senior,87.84,93,190,200,-207.5,,200,100,107.5,-112.5,,107.5,200,212.5,230,,230,537.5,88,351.90,347.51,333.41,72.32,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Lorenzo Monticolo,M,SBD,Raw,,,,Senior,84.95,93,185,192.5,200,,200,127.5,135,140,,140,195,207.5,-215,,207.5,547.5,85,364.89,360.56,346.47,74.91,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Simone Lastella,M,SBD,Raw,25.5,24-34,24-39,Senior,90.23,93,185,192.5,200,,200,115,120,-125,,120,220,232.5,-240,,232.5,552.5,83,356.79,352.26,337.57,73.36,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Alessio Caputo,M,SBD,Raw,,,,Senior,91.06,93,180,195,-205,,195,117.5,125,130,,130,210,230,-250,,230,555,82,356.77,352.23,337.41,73.36,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Federico Agrò,M,SBD,Raw,28.5,24-34,24-39,Senior,89.5,93,182.5,195,202.5,,202.5,-115,122.5,127.5,,127.5,220,230,-240,,230,560,79,363.12,358.52,343.69,74.65,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Luigi Ghini,M,SBD,Raw,,,,Senior,91.6,93,185,192.5,-200,,192.5,130,135,-140,,135,215,227.5,235,,235,562.5,78,360.54,355.95,340.89,74.13,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
