Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Dario Petrosino,M,SBD,Raw,,,,Senior,77.85,83,165,175,185,,185,125,130,132.5,,132.5,170,180,-190,,180,497.5,58,348.70,345.66,333.45,71.15,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Michele Ronzoni,M,SBD,Raw,28.5,24-34,24-39,Senior,73.63,74,165,177.5,185,,185,115,120,122.5,,122.5,185,200,-210,,200,507.5,31,368.45,366.36,354.27,74.70,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Francesc Costantino,M,SBD,Raw,,,,Senior,66,66,175,-182.5,182.5,,182.5,100,105,-107.5,,105,187.5,195,205,,205,492.5,17,385.89,386.71,375.77,76.77,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Matteo Pirajno,M,SBD,Raw,,,,Senior,64.76,66,-185,185,-195,,185,110,115,-120,,115,-220,230,240,,240,540,12,429.16,430.74,418.94,85.03,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Alberto Soldi,M,SBD,Raw,,,,Senior,72.98,74,210,217.5,-222.5,,217.5,-110,110,115,,115,250,262.5,-267.5,,262.5,595,13,434.50,432.27,418.16,87.98,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Lorenzo De Monte,M,SBD,Raw,25.5,24-34,24-39,Senior,63.5,66,160,170,175,,175,-85,85,90,,90,170,180,185,,185,450,29,363.04,364.99,355.34,71.60,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Stefano Chiabrando,M,SBD,Raw,25.5,24-34,24-39,Senior,58.59,59,150,-160,-160,,150,85,-90,-90,,85,180,-190,-202.5,,180,415,6,357.27,361.81,353.78,68.93,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Stefano Polisini,M,SBD,Raw,28.5,24-34,24-39,Senior,65.55,66,172.5,-180,-180,,172.5,115,120,-125,,120,225,-245,-245,,225,517.5,13,407.54,408.64,397.21,80.96,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Lorenzo Rossi,M,SBD,Raw,,,,Senior,91.42,93,230,237.5,245,,245,150,160,162.5,,162.5,250,-270,,,250,657.5,33,421.84,416.47,398.88,86.74,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Ruben Ilardi,M,SBD,Raw,,,,Senior,82.92,83,150,160,170,,170,120,-125,125,,125,185,195,205,,205,500,57,337.73,333.94,321.24,69.25,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Alessandro Arienti,M,SBD,Raw,23.5,24-34,24-39,Senior,82.34,83,200,210,220,,220,142.5,150,-155,,150,225,237.5,-250,,237.5,607.5,15,411.97,407.44,392.07,84.43,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Federico Sacco,M,SBD,Raw,24,24-34,24-39,Senior,82.65,83,235,247.5,252.5,,252.5,-152.5,157.5,162.5,,162.5,240,257.5,-270,,257.5,672.5,6,455.08,450.02,432.97,93.29,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Luca Polini,M,SBD,Raw,31.5,24-34,24-39,Senior,104.2,105,250,257.5,,,257.5,-155,155,160,,160,275,285,290,,290,707.5,9,428.02,423.92,404.78,87.66,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Giacomo Satta,M,SBD,Raw,26.5,24-34,24-39,Senior,73.2,74,-215,225,-235,,225,130,135,-140,,135,210,222.5,230,,230,590,14,430.00,427.71,413.70,87.11,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Benedetto Tognolli,M,SBD,Raw,30.5,24-34,24-39,Senior,117.5,120,250,-262.5,262.5,,262.5,150,157.5,160,,160,235,245,255,,255,677.5,12,391.87,391.49,375.00,79.49,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Federico Gamberini,M,SBD,Raw,28.5,24-34,24-39,Senior,100.37,105,250,-265,-270,,250,145,150,-155,,150,260,280,295,,295,695,10,427.10,422.35,403.37,87.65,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Mattia Bardoscia,M,SBD,Raw,26.5,24-34,24-39,Senior,81.33,83,180,-190,192.5,,192.5,-122.5,125,-130,,125,215,225,235,,235,552.5,35,377.33,373.34,359.46,77.27,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Danilo Camilleri,M,SBD,Raw,30,24-34,24-39,Senior,78.38,83,170,180,187.5,,187.5,100,105,-110,,105,195,207.5,220,,220,512.5,50,357.74,354.50,341.88,73.04,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Marco Padovani,M,SBD,Raw,,,,Senior,89.45,93,220,232.5,240,,240,160,167.5,172.5,,172.5,242.5,255,265,,265,677.5,25,439.43,433.87,415.93,90.34,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Andrea De Stefani,M,SBD,Raw,34.5,24-34,24-39,Senior,91.3,93,190,200,-210,,200,140,-145,-145,,140,230,245,-260,,245,585,68,375.57,370.79,355.15,77.22,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Sebastiano Santuari,M,SBD,Raw,28.5,24-34,24-39,Senior,85.53,93,215,222.5,230,,230,155,160,-165,,160,250,260,270,,270,660,29,438.25,432.98,415.93,89.99,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Massimiliano Perego,M,SBD,Raw,33.5,24-34,24-39,Senior,82.45,83,170,180,-190,,180,145,150,-152.5,,150,210,220,-225,,220,550,36,372.69,368.58,354.66,76.39,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Lorenzo Canossa,M,SBD,Raw,24,24-34,24-39,Senior,81.85,83,195,202.5,-205,,202.5,135,-140,140,,140,195,205,215,,215,557.5,33,379.35,375.26,361.20,77.72,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Nico Benini,M,SBD,Raw,,,,Senior,79.08,83,190,200,205,,205,130,137.5,142.5,,142.5,205,-220,230,,230,577.5,21,400.96,397.17,382.88,81.93,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Mirko Fetti,M,SBD,Raw,25.5,24-34,24-39,Senior,104.15,105,-220,220,-222.5,,220,145,150,155,,155,230,242.5,252.5,,252.5,627.5,26,379.69,376.05,359.07,77.77,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Ismail Donghi,M,SBD,Raw,25.5,24-34,24-39,Senior,115.85,120,220,235,-245,,235,120,125,130,,130,260,275,-290,,275,640,16,371.99,371.15,355.37,75.56,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Luca Cavazzini,M,SBD,Raw,33.5,24-34,24-39,Senior,121.01,120+,230,242.5,250,,250,147.5,155,160,,160,255,265,-270,,265,675,2,386.58,387.33,371.16,78.18,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Amedeo Codispoti,M,SBD,Raw,25.5,24-34,24-39,Senior,95.4,105,165,175,-180,,175,105,110,-115,,110,195,205,215,,215,500,42,314.32,310.43,296.84,64.61,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Filippo Pulcinelli,M,SBD,Raw,26.5,24-34,24-39,Senior,104.37,105,215,230,240,,240,140,-145,147.5,,147.5,230,250,-255,,250,637.5,23,385.41,381.75,364.52,78.93,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Andrea Camisasca,M,SBD,Raw,34.5,24-34,24-39,Senior,97.22,105,210,220,225,,225,162.5,170,175,,175,200,225,-235,,225,625,28,389.52,384.83,367.78,80.03,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Mattia Repetto,M,SBD,Raw,27.5,24-34,24-39,Senior,109.01,120,210,225,235,,235,162.5,-170,170,,170,225,240,255,,255,660,14,392.24,389.50,372.17,80.09,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Patrick Terenzi,M,SBD,Raw,30.5,24-34,24-39,Senior,88.17,93,170,-180,187.5,,187.5,107.5,-112.5,-112.5,,107.5,225,240,-250,,240,535,91,349.58,345.20,331.14,71.85,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Mikolaj Ziober,M,SBD,Raw,26.5,24-34,24-39,Senior,99.79,105,160,167.5,-172.5,,167.5,120,130,-135,,130,170,180,190,,190,487.5,43,300.34,296.94,283.62,61.65,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Davide Boccia,M,SBD,Raw,27.5,24-34,24-39,Senior,91.14,93,-172.5,182.5,-195,,182.5,140,147.5,-152.5,,147.5,230,242.5,257.5,,257.5,587.5,66,377.50,372.69,357.00,77.62,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Enrico Mazzi,M,SBD,Raw,29,24-34,24-39,Senior,83.6,93,165,175,-182.5,,175,107.5,112.5,115,,115,210,225,-240,,225,515,95,346.27,342.31,329.17,71.03,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Giacomo Sargentini,M,SBD,Raw,25.5,24-34,24-39,Senior,98.41,105,215,230,-240,,230,132.5,140,147.5,,147.5,235,250,260,,260,637.5,21,395.16,390.52,373.10,81.15,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Enrico Bortolotto,M,SBD,Raw,30.5,24-34,24-39,Senior,89.65,93,225,235,-242.5,,235,150,155,-160,,155,240,255,265,,265,655,35,424.36,418.98,401.62,87.24,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Gabriele Colangelo,M,SBD,Raw,32.5,24-34,24-39,Senior,81.59,83,195,202.5,-207.5,,202.5,120,-125,-125,,120,220,240,255,,255,577.5,22,393.68,389.47,374.94,80.64,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Alberto Mattanza,M,SBD,Raw,27.5,24-34,24-39,Senior,81.33,83,220,-235,235,,235,130,135,-137.5,,135,230,240,-245,,240,610,14,416.60,412.20,396.87,85.31,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Guido Barbarotto,M,SBD,Raw,26.5,24-34,24-39,Senior,81.86,83,-240,240,-252.5,,240,150,-155,155,,155,250,260,270,,270,665,8,452.47,447.58,430.82,92.70,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Gianluca De Carlo,M,SBD,Raw,27.5,24-34,24-39,Senior,90.5,93,247.5,260,270,,270,162.5,-167.5,167.5,,167.5,250,-265,-265,,250,687.5,18,443.30,437.67,419.36,91.15,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Davide Bonafede,M,SBD,Raw,27.5,24-34,24-39,Senior,72.4,74,150,160,-165,,160,95,100,105,,105,180,200,-202.5,,200,465,38,341.37,339.79,328.81,69.05,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Carlo Marcantonio,M,SBD,Raw,31.5,24-34,24-39,Senior,77.91,83,180,190,-200,,190,-102.5,-107.5,107.5,,107.5,215,-230,-230,,215,512.5,49,359.05,355.90,343.32,73.27,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Alex Minetto,M,SBD,Raw,32.5,24-34,24-39,Senior,79.39,83,180,190,-195,,190,152.5,-157.5,-157.5,,152.5,220,230,-235,,230,572.5,25,396.56,392.75,378.55,81.06,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Carlo Maria Terrusi,M,SBD,Raw,35.5,35-39,24-39,Senior,59,59,135,142.5,147.5,,147.5,95,-100,-105,,95,160,-170,180,,180,422.5,5,361.61,365.96,357.70,69.91,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Christian Marcia,M,SBD,Raw,23.5,24-34,24-39,Senior,95.29,105,240,252.5,-260,,252.5,135,-145,-145,,135,260,-280,-280,,260,647.5,17,407.26,402.21,384.62,83.71,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Luca Melluzzo,M,SBD,Raw,24.5,24-34,24-39,Senior,92.92,93,220,-232.5,-232.5,,220,160,-165,-165,,160,220,-232.5,232.5,,232.5,612.5,59,389.87,384.92,368.42,80.16,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Carlo Passiu,M,SBD,Raw,,,,Senior,98.42,105,-240,240,-250,,240,147.5,155,160,,160,-260,260,275,,275,675,13,418.38,413.47,395.03,85.92,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Andrea Matisi,M,SBD,Raw,,,,Senior,91.08,93,262.5,-270,-270,,262.5,-162.5,162.5,-167.5,,162.5,245,255,262.5,,262.5,687.5,19,441.90,436.27,417.91,90.86,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Leonardo Campriani,M,SBD,Raw,24.5,24-34,24-39,Senior,76.76,83,210,220,-230,,220,147.5,155,160,,160,205,215,220,,220,600,16,424.21,420.80,406.19,86.43,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Calogero Provenzano,M,SBD,Raw,,,,Senior,87.89,93,170,177.5,-185,,177.5,117.5,122.5,-125,,122.5,227.5,240,-247.5,,240,540,87,353.43,349.02,334.85,72.64,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Simone Abrescia,M,SBD,Raw,38.5,35-39,24-39,Senior,91.08,93,192.5,205,215,,215,142.5,-150,-155,,142.5,220,232.5,242.5,,242.5,600,62,385.66,380.75,364.72,79.30,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Corrado Botta,M,SBD,Raw,29.5,24-34,24-39,Senior,96.74,105,225,237.5,245,,245,172.5,180,-185,,180,265,282.5,295,,295,720,8,449.73,444.27,424.65,92.41,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Davide Pedruzzi,M,SBD,Raw,27.5,24-34,24-39,Senior,88.09,93,200,210,217.5,,217.5,110,115,120,,120,210,220,230,,230,567.5,75,370.99,366.35,351.44,76.25,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Maikol Nosenzo,M,SBD,Raw,26.5,24-34,24-39,Senior,73.69,74,215,-225,225,,225,107.5,115,120,,120,245,255,-265,,255,600,11,435.38,432.88,418.58,88.28,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Luca Salani,M,SBD,Raw,30.5,24-34,24-39,Senior,65.06,66,200,-207.5,-207.5,,200,117.5,122.5,-125,,122.5,205,212.5,220,,220,542.5,11,429.64,431.06,419.16,85.21,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Luca Lombardi,M,SBD,Raw,25.5,24-34,24-39,Senior,97.4,105,230,-242.5,242.5,,242.5,145,150,-155,,150,265,280,-290,,280,672.5,14,418.78,413.75,395.40,86.03,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Federico Disarò,M,SBD,Raw,24.5,24-34,24-39,Senior,73.52,74,220,230,237.5,,237.5,145,-152.5,152.5,,152.5,240,-250,-250,,240,630,6,457.84,455.27,440.28,92.80,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Mattia Zaninetti,M,SBD,Raw,25,24-34,24-39,Senior,73.68,74,180,195,-202.5,,195,125,-130,130,,130,215,230,-245,,230,555,21,402.76,400.45,387.23,81.66,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Cristian Del Galdo,M,SBD,Raw,24.5,24-34,24-39,Senior,73.24,74,190,202.5,212.5,,212.5,105,-112.5,-115,,105,240,260,-282.5,,260,577.5,17,420.74,418.48,404.76,85.24,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Amos Siracusa,M,SBD,Raw,24.5,24-34,24-39,Senior,63.87,66,152.5,160,165,,165,105,110,-112.5,,110,190,197.5,-205,,197.5,472.5,23,379.49,381.34,371.15,74.95,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Michele Nebiante,M,SBD,Raw,33.5,24-34,24-39,Senior,91.31,93,205,215,225,,225,140,145,-150,,145,230,245,260,,260,630,50,404.43,399.29,382.44,83.16,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Giacomo Rossi,M,SBD,Raw,,,,Senior,72.55,74,-170,170,177.5,,177.5,117.5,122.5,-125,,122.5,215,225,-232.5,,225,525,26,384.89,383.05,370.65,77.87,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Luigi Diretto,M,SBD,Raw,30.5,24-34,24-39,Senior,102.66,105,-200,212.5,-225,,212.5,-105,-110,110,,110,215,230,-240,,230,552.5,36,336.30,332.85,317.83,68.94,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Nicola March,M,SBD,Raw,29.5,24-34,24-39,Senior,92.01,93,205,215,-225,,215,117.5,125,-130,,125,225,-237.5,245,,245,585,69,374.14,369.38,353.69,76.93,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Samuele Ingui',M,SBD,Raw,27.5,24-34,24-39,Senior,72.58,74,180,190,200,,200,110,117.5,122.5,,122.5,185,195,-200,,195,517.5,28,379.29,377.47,365.24,76.74,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Alberto Zaramella,M,SBD,Raw,24.5,24-34,24-39,Senior,81.87,83,220,-240,240,,240,130,140,-150,,140,260,280,-300,,280,660,9,449.03,444.19,427.54,92.00,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Damiano Marconi,M,SBD,Raw,30.5,24-34,24-39,Senior,92.01,93,217.5,-230,-235,,217.5,145,152.5,-157.5,,152.5,240,255,-272.5,,255,625,53,399.72,394.64,377.87,82.19,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Andrea Bernabucci,M,SBD,Raw,32,24-34,24-39,Senior,90.72,93,230,240,-245,,240,160,-170,-170,,160,270,285,-300,,285,685,20,441.16,435.55,417.28,90.71,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Michele Fois,M,SBD,Raw,25.5,24-34,24-39,Senior,73.06,74,180,190,-200,,190,107.5,112.5,117.5,,117.5,170,190,,,190,497.5,32,363.04,361.15,349.35,73.52,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Alessandro Cozzolino,M,SBD,Raw,27.5,24-34,24-39,Senior,99.1,105,180,190,200,,200,125,132.5,140,,140,250,265,-280,,265,605,31,373.86,369.54,353.01,76.76,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Mustafà Eskinoglu,M,SBD,Raw,27.5,24-34,24-39,Senior,81.46,83,180,190,-200,,190,120,127.5,-132.5,,127.5,210,227.5,-237.5,,227.5,545,39,371.86,367.91,354.21,76.16,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Mauro Chillotti,M,SBD,Raw,28.5,24-34,24-39,Senior,113.75,120,275,-290,295,,295,-185,185,-190,,185,282.5,295,-302.5,,295,775,3,453.39,451.65,432.16,92.25,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Matteo Lipari,M,SBD,Raw,28.5,24-34,24-39,Senior,95.14,105,215,225,235,,235,147.5,152.5,-157.5,,152.5,240,255,265,,265,652.5,16,410.71,405.60,387.89,84.42,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Stefano Paggio,M,SBD,Raw,29.5,24-34,24-39,Senior,100.93,105,237.5,-250,-255,,237.5,140,145,-147.5,,145,240,250,-255,,250,632.5,24,387.77,383.53,366.27,79.55,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Andrea Scaburri,M,SBD,Raw,23.5,24-34,24-39,Senior,73.04,74,170,177.5,182.5,,182.5,105,-110,-110,,105,220,235,-242.5,,235,522.5,27,381.35,379.37,366.98,77.23,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Helin Yang,M,SBD,Raw,24.5,24-34,24-39,Senior,73.33,74,160,-167.5,-167.5,,160,102.5,107.5,-110,,107.5,172.5,180,-185,,180,447.5,42,325.76,323.99,313.35,66.01,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Fabio Strati,M,SBD,Raw,26.5,24-34,24-39,Senior,86.63,93,-185,195,205,,205,125,132.5,140,,140,195,210,222.5,,222.5,567.5,73,374.26,369.67,354.90,76.89,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Francesco Lefosse,M,SBD,Raw,24.5,24-34,24-39,Senior,88.76,93,210,222.5,230,,230,-147.5,147.5,-155,,147.5,240,255,-265,,255,632.5,49,411.87,406.68,390.00,84.66,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Denys Parfenyuk,M,SBD,Raw,25.5,24-34,24-39,Senior,92.3,93,237.5,245,250,,250,162.5,170,-175,,170,260,-280,-280,,260,680,24,434.23,428.72,410.45,89.29,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Vito Todisco,M,SBD,Raw,31,24-34,24-39,Senior,76.35,83,190,197.5,-202.5,,197.5,105,-112.5,-112.5,,105,225,-235,-242.5,,225,527.5,45,374.20,371.30,358.49,76.20,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Stefano Cozzolino,M,SBD,Raw,23.5,24-34,24-39,Senior,104.9,105,-190,200,210,,210,117.5,125,130,,130,265,282.5,-300,,282.5,622.5,29,375.57,372.10,355.32,76.89,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Salvatore D'Urso,M,SBD,Raw,30.5,24-34,24-39,Senior,101.2,105,-235,242.5,250,,250,130,137.5,140,,140,235,245,255,,255,645,20,394.98,390.70,373.10,81.02,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Matteo Mazzetto,M,SBD,Raw,34.5,24-34,24-39,Senior,87.37,93,195,-205,,,195,130,140,150,,150,240,260,275,,275,620,55,407.05,402.00,385.79,83.64,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Leonardo Pompei,M,SBD,Raw,28,24-34,24-39,Senior,81.45,83,-212.5,222.5,230,,230,140,150,157.5,,157.5,240,255,265,,265,652.5,10,445.24,440.52,424.11,91.19,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Francesco Benà,M,SBD,Raw,26.5,24-34,24-39,Senior,90.75,93,190,200,210,,210,135,142.5,-147.5,,142.5,-245,260,270,,270,622.5,54,400.84,395.74,379.14,82.42,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Elias Lovo,M,SBD,Raw,28.5,24-34,24-39,Senior,114.88,120,275,287.5,-295,,287.5,147.5,155,-160,,155,280,297.5,310,,310,752.5,6,438.68,437.36,418.64,89.17,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Davide Bonetto,M,SBD,Raw,33.5,24-34,24-39,Senior,119.05,120,260,270,-280,,270,165,175,180,,180,290,310,-327.5,,310,760,5,437.64,437.76,419.45,88.65,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Danilo Iorio,M,SBD,Raw,29.5,24-34,24-39,Senior,92.15,93,210,225,240,,240,137.5,-145,-150,,137.5,240,260,275,,275,652.5,38,417.00,411.70,394.18,85.74,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
